7.2.0.006,8.0.0,Transition notes
Exterior Lights Electric Consumption,Exterior Lights Electric Energy,
Fan Coil Electric Consumption,Fan Coil Fan Electric Energy,
Fan Coil Electric Power,Fan Coil Fan Electric Power,
Fan Coil Fan Availability Status,Fan Coil Availability Status,
Fan Delta Temp,Fan Rise in Air Temperature,
Fan Electric Consumption,Fan Electric Energy,
Fan Speed,Fan Coil Fan Speed Level,
Fan Speed Selected,Cooling Tower Fan Speed Level,
FangerPMV,Zone Thermal Comfort Fanger Model PMV,
FangerPPD,Zone Thermal Comfort Fanger Model PPD,
FCFactor Ground Temperature,Site Simple Factor Model Ground Temperature,
Fluid Cooler Fan Electric Consumption,Cooling Tower Fan Electric Energy,
Fluid Cooler Fan Electric Power,Cooling Tower Fan Electric Power,
Fluid Cooler Heat Transfer,Cooling Tower Heat Transfer Rate,
Fluid Cooler Water Inlet Temperature,Cooling Tower Inlet Temperature,
Fluid Cooler Water Mass Flow Rate,Cooling Tower Mass Flow Rate,
Fluid Cooler Water Outlet Temperature,Cooling Tower Outlet Temperature,
Fraction of Time Raining,Site Rain Status,
Fraction of Time Shading Device Is On,Surface Shading Device Is On Time Fraction,
Fraction of Time Snow On Ground,Site Snow on Ground Status,
Fraction Of Timestep Fancoil is ON,Fan Coil Runtime Fraction,
Fractional Battery Damage,Electric Storage Degradation Fraction,
FuelCell AC Ancillaries Energy,Generator Ancillary AC Electric Energy,
FuelCell AC Ancillaries Power,Generator Ancillary AC Electric Power,
FuelCell Air Blower Electrical Energy,Generator Blower Electric Energy,
FuelCell Air Blower Electrical Power,Generator Blower Electric Power,
FuelCell Air Blower Skin Losses,Generator Blower Skin Heat Loss Rate,
FuelCell Air Enthalpy Entering Power Module,Generator Power Module Entering Air Enthalpy,
FuelCell Air Flow Rate,Generator Air Molar Flow Rate,
FuelCell Air Temperature at Inlet,Generator Air Inlet Temperature,
FuelCell Air Temperature Entering Power Module,Generator Power Module Entering Air Temperature,
FuelCell Convection Heat Loss Rate to Zone,Generator Zone Convection Heat Transfer Rate,
FuelCell DC Energy From Storage,Generator DC Storage Discharging Energy,
FuelCell DC Energy Into Storage,Generator DC Storage Charging Energy,
FuelCell DC Power Efficiency,Generator DC Power Efficiency,
FuelCell DC Power From Storage,Generator DC Storage Discharging Power,
FuelCell DC Power Generated,Generator Produced DC Electric Power,
FuelCell DC Power Into Storage,Generator DC Storage Charging Power,
FuelCell Electrical Storage State of Charge,Generator Electric Storage Charge State,
FuelCell Fuel Compressor Electrical Energy,Generator Fuel Compressor Electric Energy,
FuelCell Fuel Compressor Electrical Power,Generator Fuel Compressor Electric Power,
FuelCell Fuel Compressor Skin Losses,Generator Fuel Compressor Skin Heat Loss Rate,
FuelCell Fuel Enthalpy Entering Power Module,Generator Power Module Entering Fuel Enthalpy,
FuelCell Fuel Flow Rate,Generator Fuel Molar Flow Rate,
FuelCell Fuel Temperature at Inlet,Generator Fuel Inlet Temperature,
FuelCell Fuel Temperature Entering Power Module,Generator Power Module Entering Fuel Temperature,
FuelCell Heat Loss Energy to Zone,Generator Zone Sensible Heat Transfer Energy,
FuelCell Heat Loss Rate to Zone,Generator Zone Sensible Heat Transfer Rate,
FuelCell Heat Recovery Exit Gas Temperature,Generator Heat Recovery Exit Gas Temperature,
FuelCell Heat Recovery Exit Gas Water Vapor Fraction,Generator Heat Recovery Exit Gas H2O Vapor Fraction,
FuelCell Heat Recovery Water Condensation Rate,Generator Heat Recovery Water Condensate Molar Flow Rate,
FuelCell Model Iterations,Generator Fuel Cell Model Iteration Count,
FuelCell Power Conditioning Losses,Generator Inverter Loss Power,
FuelCell Product Gas Argon Flow Rate,Generator Product Gas Ar Molar Flow Rate,
FuelCell Product Gas Carbon Dioxide Flow Rate,Generator Product Gas CO2 Molar Flow Rate,
FuelCell Product Gas Enthalpy,Generator Product Gas Enthalpy,
FuelCell Product Gas Flow Rate,Generator Product Gas Molar Flow Rate,
FuelCell Product Gas Nitrogen Flow Rate,Generator Product Gas N2 Molar Flow Rate,
FuelCell Product Gas Oxygen Flow Rate,Generator Product Gas O2 Molar Flow Rate,
FuelCell Product Gas Temperature,Generator Product Gas Temperature,
FuelCell Product Gas Water Vapor Flow Rate,Generator Product Gas H2O Vapor Molar Flow Rate,
FuelCell Radiation Heat Loss Rate to Zone,Generator Zone Radiation Heat Transfer Rate,
FuelCell Reforming Water Enthalpy Entering Power Module,Generator Power Module Entering Reforming Water Enthalpy,
FuelCell Reforming Water Flow Rate,Generator Fuel Reformer Water Molar Flow Rate,
FuelCell Reforming Water Pump Electrical Energy,Generator Fuel Reformer Water Pump Electric Energy,
FuelCell Reforming Water Pump Electrical Power,Generator Fuel Reformer Water Pump Electric Power,
FuelCell Reforming Water Temperature at Inlet,Generator Fuel Reformer Water Inlet Temperature,
FuelCell Reforming Water Temperature Entering Power Module,Generator Power Module Entering Reforming Water Temperature,
FuelCell Regula Falsi Iterations,Generator Regula Falsi Iteration Count,
Furnace Compressor Part-Load Ratio,Unitary System Compressor Part Load Ratio,
Furnace Fan Part-Load Ratio,Unitary System Fan Part Load Ratio,
Gas Equipment Convective Heat Gain,Gas Equipment Convective Heating Energy,
Gas Equipment Convective Heat Gain Rate,Gas Equipment Convective Heating Rate,
Gas Equipment Gas Consumption,Gas Equipment Gas Energy,
Gas Equipment Gas Consumption Rate,Gas Equipment Gas Rate,
Gas Equipment Latent Heat Gain,Gas Equipment Latent Gain Energy,
Gas Equipment Latent Heat Gain Rate,Gas Equipment Latent Gain Rate,
Gas Equipment Lost Heat Gain,Gas Equipment Lost Heat Energy,
Gas Equipment Lost Heat Gain Rate,Gas Equipment Lost Heat Rate,
Gas Equipment Radiant Heat Gain,Gas Equipment Radiant Heating Energy,
Gas Equipment Radiant Heat Gain Rate,Gas Equipment Radiant Heating Rate,
Gas Equipment Total Heat Gain,Gas Equipment Total Heating Energy,
Gas Equipment Total Heat Gain Rate,Gas Equipment Total Heating Rate,
Generator Air Flow Rate,Generator Air Mass Flow Rate,
Generator Ancillary Electric Consumption,Generator Ancillary Electric Energy,
Generator Convection Heat Loss Rate to Zone,Generator Zone Convection Heat Transfer Rate,
Generator Diesel Consumption,Generator Diesel Energy,
Generator Diesel Consumption Rate,Generator Diesel Rate,
Generator Electric Efficiency LHV Basis,Generator LHV Basis Electric Efficiency,
Generator Electric Energy Produced,Generator Produced Electric Energy,
Generator Electric Power Produced,Generator Produced Electric Power,
Generator Electrical Efficiency,Generator Electric Efficiency,
Generator Exhaust Air Flow Rate,Generator Exhaust Air Mass Flow Rate,
Generator Exhaust Heat Recovery,Generator Exhaust Heat Recovery Energy,
Generator Exhaust Stack Temp,Generator Exhaust Air Temperature,
Generator Fuel Compressor Electrical Energy,Generator Fuel Compressor Electric Energy,
Generator Fuel Compressor Electrical Power,Generator Fuel Compressor Electric Power,
Generator Fuel Compressor Skin Losses,Generator Fuel Compressor Skin Heat Loss Rate,
Generator Fuel Consumption HHV Basis,Generator Fuel HHV Basis Energy,
Generator Fuel Consumption LHV Basis,Generator Fuel LHV Basis Energy,
Generator Fuel Consumption Rate HHV Basis,Generator Fuel HHV Basis Rate,
Generator Fuel Flow Rate,Generator Fuel Mass Flow Rate,
Generator FuelOil#1 Consumption,Generator FuelOil#1 Energy,
Generator FuelOil#1 Consumption Rate,Generator FuelOil#1 Rate,
Generator FuelOil#2 Consumption,Generator FuelOil#2 Energy,
Generator FuelOil#2 Consumption Rate,Generator FuelOil#2 Rate,
Generator Gas Consumption,Generator Gas Energy,
Generator Gas Consumption HHV Basis,Generator Gas HHV Basis Energy,
Generator Gas Consumption Rate,Generator Gas Rate,
Generator Gas Consumption Rate HHV Basis,Generator Gas HHV Basis Rate,
Generator Gasoline Consumption,Generator Gasoline Energy,
Generator Gasoline Consumption Rate,Generator Gasoline Rate,
Generator Gross Heat Input Rate to Engine,Generator Gross Input Heat Rate,
Generator Heat Loss Energy to Zone,Generator Zone Sensible Heat Transfer Energy,
Generator Heat Loss Rate to Zone,Generator Zone Sensible Heat Transfer Rate,
Generator Heat Recovery Inlet Temp,Generator Heat Recovery Inlet Temperature,
Generator Heat Recovery Outlet Temp,Generator Heat Recovery Outlet Temperature,
Generator Jacket Heat Recovery,Generator Jacket Heat Recovery Energy,
Generator Lube Heat Recovery,Generator Lube Heat Recovery Energy,
Generator Molar Fuel Flow Rate,Generator Fuel Molar Flow Rate,
Generator Power Supply Request,Generator Requested Electric Power,
Generator Propane Consumption,Generator Propane Energy,
Generator Propane Consumption HHV Basis,Generator Propane HHV Basis Energy,
Generator Propane Consumption Rate,Generator Propane Rate,
Generator Propane Consumption Rate HHV Basis,Generator Propane HHV Basis Rate,
Generator Radiation Heat Loss Rate to Zone,Generator Zone Radiation Heat Transfer Rate,
Generator Rate of Heat Exchange,Generator Engine Heat Exchange Rate,
Generator Standby Electric Consumption,Generator Standby Electric Energy,
Generator Steady-State Rate of Heat Generation in Engine,Generator Steady State Engine Heat Generation Rate,
Generator Thermal Energy Produced,Generator Produced Thermal Energy,
Generator Thermal Power Produced,Generator Produced Thermal Rate,
Generator Time in Cool Down Mode,Generator Cool Down Mode Time,
Generator Time in Normal Operating Mode,Generator Normal Operating Mode Time,
Generator Time in Off Mode,Generator Off Mode Time,
Generator Time in Standby Mode,Generator Standby Mode Time,
Generator Time in Warm Up Mode,Generator Warm Up Mode Time,
Generic Contaminant Boundary Layer Diffusion Rate,Generic Air Contaminant Boundary Layer Diffusion Generation Volume Flow Rate,
Generic Contaminant Constant Generation Rate,Generic Air Contaminant Constant Source Generation Volume Flow Rate,
Generic Contaminant Cutoff Model Generation Rate,Generic Air Contaminant Cutoff Model Generation Volume Flow Rate,
Generic Contaminant Decay Rate,Generic Air Contaminant Decay Model Generation Volume Flow Rate,
Generic Contaminant Decay Time Since Emission Start,Generic Air Contaminant Decay Model Generation Emission Start Elapsed Time,
Generic Contaminant Deposition Rate Sink Rate,Generic Air Contaminant Deposition Rate Removal Volume Flow Rate,
Generic Contaminant Deposition Velocity Sink Rate,Generic Air Contaminant Deposition Velocity Removal Volume Flow Rate,
Generic Contaminant Interior Surface Concentration Level,Generic Air Contaminant Boundary Layer Diffusion Inside Face Concentration,
Generic Contaminant Pressure Driven Generation Rate,Generic Air Contaminant Pressure Driven Generation Volume Flow Rate,
Glare Index at Ref Point 1,Daylighting Reference Point 1 Glare Index,
Glare Index at Ref Point 2,Daylighting Reference Point 2 Glare Index,
Glass Beam-Beam Solar Transmittance,Surface Window Glazing Beam to Beam Solar Transmittance,
Glass Beam-Diffuse Solar Transmittance,Surface Window Glazing Beam to Diffuse Solar Transmittance,
Glass Diffuse-Diffuse Solar Transmittance,Surface Window Glazing Diffuse to Diffuse Solar Transmittance,
Ground Heat Exchanger Average Fluid Temp,Ground Heat Exchanger Average Fluid Temperature,
Ground Heat Exchanger Heat Transfer,Ground Heat Exchanger Heat Transfer Rate,
Ground Heat Exchanger Inlet Temp,Ground Heat Exchanger Inlet Temperature,
Ground Heat Exchanger Outlet Temp,Ground Heat Exchanger Outlet Temperature,
Ground Reflected Solar,Site Ground Reflected Solar Radiation Rate per Area,
Ground Temperature,Site Ground Temperature,
Groundwater Well Pumping Energy,Water System Groundwater Well Pump Electric Energy,
Groundwater Well Pumping Power,Water System Groundwater Well Pump Electric Power,
Groundwater Well Requested Volumetric Rate,Water System Groundwater Well Requested Volume Flow Rate,
Groundwater Well Volume,Water System Groundwater Well Volume,
Groundwater Well Volumetric Rate,Water System Groundwater Well Volume Flow Rate,
GSHP COOLING Electric Consumption,Water to Water Heat Pump Electric Energy,
GSHP COOLING Electric Power,Water to Water Heat Pump Electric Power,
GSHP COOLING Load Side Heat Transfer Rate,Water to Water Heat Pump Load Side Heat Transfer Rate,
GSHP COOLING Load Side Heat Transferred,Water to Water Heat Pump Load Side Heat Transfer Energy,
GSHP COOLING Load Side Inlet Temperature,Water to Water Heat Pump Load Side Inlet Temperature,
GSHP COOLING Load Side Outlet Temperature,Water to Water Heat Pump Load Side Outlet Temperature,
GSHP COOLING Load Side Water Mass Flow Rate,Water to Water Heat Pump Load Side Mass Flow Rate,
GSHP COOLING Source Side Heat Transfer Rate,Water to Water Heat Pump Source Side Heat Transfer Rate,
GSHP COOLING Source Side Heat Transferred,Water to Water Heat Pump Source Side Heat Transfer Energy,
GSHP COOLING Source Side Inlet Temperature,Water to Water Heat Pump Source Side Inlet Temperature,
GSHP COOLING Source Side Outlet Temperature,Water to Water Heat Pump Source Side Outlet Temperature,
GSHP COOLING Source Side Water Mass Flow Rate,Water to Water Heat Pump Source Side Mass Flow Rate,
GSHP Electric Consumption,Water to Water Heat Pump Electric Energy,
GSHP Electric Power,Water to Water Heat Pump Electric Power,
GSHP HEATING Electric Consumption,Water to Water Heat Pump Electric Energy,
GSHP HEATING Electric Power,Water to Water Heat Pump Electric Power,
GSHP HEATING Load Side Heat Transfer Rate,Water to Water Heat Pump Load Side Heat Transfer Rate,
GSHP HEATING Load Side Heat Transferred,Water to Water Heat Pump Load Side Heat Transfer Energy,
GSHP HEATING Load Side Inlet Temperature,Water to Water Heat Pump Load Side Inlet Temperature,
GSHP HEATING Load Side Outlet Temperature,Water to Water Heat Pump Load Side Outlet Temperature,
GSHP HEATING Load Side Water Mass Flow Rate,Water to Water Heat Pump Load Side Mass Flow Rate,
GSHP HEATING Source Side Heat Transfer Rate,Water to Water Heat Pump Source Side Heat Transfer Rate,
GSHP HEATING Source Side Heat Transferred,Water to Water Heat Pump Source Side Heat Transfer Energy,
GSHP HEATING Source Side Inlet Temperature,Water to Water Heat Pump Source Side Inlet Temperature,
GSHP HEATING Source Side Outlet Temperature,Water to Water Heat Pump Source Side Outlet Temperature,
GSHP HEATING Source Side Water Mass Flow Rate,Water to Water Heat Pump Source Side Mass Flow Rate,
GSHP Load Side Heat Transfer Rate,Water to Water Heat Pump Load Side Heat Transfer Rate,
GSHP Load Side Heat Transferred,Water to Water Heat Pump Load Side Heat Transfer Energy,
GSHP Load Side Inlet Temperature,Water to Water Heat Pump Load Side Inlet Temperature,
GSHP Load Side Outlet Temperature,Water to Water Heat Pump Load Side Outlet Temperature,
GSHP Load Side Water Mass Flow Rate,Water to Water Heat Pump Load Side Mass Flow Rate,
GSHP Source Side Heat Transfer Rate,Water to Water Heat Pump Source Side Heat Transfer Rate,
GSHP Source Side Heat Transferred,Water to Water Heat Pump Source Side Heat Transfer Energy,
GSHP Source Side Inlet Temperature,Water to Water Heat Pump Source Side Inlet Temperature,
GSHP Source Side Outlet Temperature,Water to Water Heat Pump Source Side Outlet Temperature,
GSHP Source Side Water Mass Flow Rate,Water to Water Heat Pump Source Side Mass Flow Rate,
HAMT Profile Construction Cell 1 Relative Humidity,HAMT Surface Relative Humidity Cell 1,
HAMT Profile Construction Cell 1 Temperature,HAMT Surface Temperature Cell 1,
HAMT Profile Construction Cell 1 Water Content,HAMT Surface Water Content Cell 1,
HAMT Profile Construction Cell 10 Relative Humidity,HAMT Surface Relative Humidity Cell 10,
HAMT Profile Construction Cell 10 Temperature,HAMT Surface Temperature Cell 10,
HAMT Profile Construction Cell 10 Water Content,HAMT Surface Water Content Cell 10,
HAMT Profile Construction Cell 11 Relative Humidity,HAMT Surface Relative Humidity Cell 11,
HAMT Profile Construction Cell 11 Temperature,HAMT Surface Temperature Cell 11,
HAMT Profile Construction Cell 11 Water Content,HAMT Surface Water Content Cell 11,
HAMT Profile Construction Cell 12 Relative Humidity,HAMT Surface Relative Humidity Cell 12,
HAMT Profile Construction Cell 12 Temperature,HAMT Surface Temperature Cell 12,
HAMT Profile Construction Cell 12 Water Content,HAMT Surface Water Content Cell 12,
HAMT Profile Construction Cell 13 Relative Humidity,HAMT Surface Relative Humidity Cell 13,
HAMT Profile Construction Cell 13 Temperature,HAMT Surface Temperature Cell 13,
HAMT Profile Construction Cell 13 Water Content,HAMT Surface Water Content Cell 13,
HAMT Profile Construction Cell 14 Relative Humidity,HAMT Surface Relative Humidity Cell 14,
HAMT Profile Construction Cell 14 Temperature,HAMT Surface Temperature Cell 14,
HAMT Profile Construction Cell 14 Water Content,HAMT Surface Water Content Cell 14,
HAMT Profile Construction Cell 15 Relative Humidity,HAMT Surface Relative Humidity Cell 15,
HAMT Profile Construction Cell 15 Temperature,HAMT Surface Temperature Cell 15,
HAMT Profile Construction Cell 15 Water Content,HAMT Surface Water Content Cell 15,
HAMT Profile Construction Cell 16 Relative Humidity,HAMT Surface Relative Humidity Cell 16,
HAMT Profile Construction Cell 16 Temperature,HAMT Surface Temperature Cell 16,
HAMT Profile Construction Cell 16 Water Content,HAMT Surface Water Content Cell 16,
HAMT Profile Construction Cell 17 Relative Humidity,HAMT Surface Relative Humidity Cell 17,
HAMT Profile Construction Cell 17 Temperature,HAMT Surface Temperature Cell 17,
HAMT Profile Construction Cell 17 Water Content,HAMT Surface Water Content Cell 17,
HAMT Profile Construction Cell 18 Relative Humidity,HAMT Surface Relative Humidity Cell 18,
HAMT Profile Construction Cell 18 Temperature,HAMT Surface Temperature Cell 18,
HAMT Profile Construction Cell 18 Water Content,HAMT Surface Water Content Cell 18,
HAMT Profile Construction Cell 19 Relative Humidity,HAMT Surface Relative Humidity Cell 19,
HAMT Profile Construction Cell 19 Temperature,HAMT Surface Temperature Cell 19,
HAMT Profile Construction Cell 19 Water Content,HAMT Surface Water Content Cell 19,
HAMT Profile Construction Cell 2 Relative Humidity,HAMT Surface Relative Humidity Cell 2,
HAMT Profile Construction Cell 2 Temperature,HAMT Surface Temperature Cell 2,
HAMT Profile Construction Cell 2 Water Content,HAMT Surface Water Content Cell 2,
HAMT Profile Construction Cell 20 Relative Humidity,HAMT Surface Relative Humidity Cell 20,
HAMT Profile Construction Cell 20 Temperature,HAMT Surface Temperature Cell 20,
HAMT Profile Construction Cell 20 Water Content,HAMT Surface Water Content Cell 20,
HAMT Profile Construction Cell 21 Relative Humidity,HAMT Surface Relative Humidity Cell 21,
HAMT Profile Construction Cell 21 Temperature,HAMT Surface Temperature Cell 21,
HAMT Profile Construction Cell 21 Water Content,HAMT Surface Water Content Cell 21,
HAMT Profile Construction Cell 22 Relative Humidity,HAMT Surface Relative Humidity Cell 22,
HAMT Profile Construction Cell 22 Temperature,HAMT Surface Temperature Cell 22,
HAMT Profile Construction Cell 22 Water Content,HAMT Surface Water Content Cell 22,
HAMT Profile Construction Cell 23 Relative Humidity,HAMT Surface Relative Humidity Cell 23,
HAMT Profile Construction Cell 23 Temperature,HAMT Surface Temperature Cell 23,
HAMT Profile Construction Cell 23 Water Content,HAMT Surface Water Content Cell 23,
HAMT Profile Construction Cell 24 Relative Humidity,HAMT Surface Relative Humidity Cell 24,
HAMT Profile Construction Cell 24 Temperature,HAMT Surface Temperature Cell 24,
HAMT Profile Construction Cell 24 Water Content,HAMT Surface Water Content Cell 24,
HAMT Profile Construction Cell 25 Relative Humidity,HAMT Surface Relative Humidity Cell 25,
HAMT Profile Construction Cell 25 Temperature,HAMT Surface Temperature Cell 25,
HAMT Profile Construction Cell 25 Water Content,HAMT Surface Water Content Cell 25,
HAMT Profile Construction Cell 26 Relative Humidity,HAMT Surface Relative Humidity Cell 26,
HAMT Profile Construction Cell 26 Temperature,HAMT Surface Temperature Cell 26,
HAMT Profile Construction Cell 26 Water Content,HAMT Surface Water Content Cell 26,
HAMT Profile Construction Cell 27 Relative Humidity,HAMT Surface Relative Humidity Cell 27,
HAMT Profile Construction Cell 27 Temperature,HAMT Surface Temperature Cell 27,
HAMT Profile Construction Cell 27 Water Content,HAMT Surface Water Content Cell 27,
HAMT Profile Construction Cell 28 Relative Humidity,HAMT Surface Relative Humidity Cell 28,
HAMT Profile Construction Cell 28 Temperature,HAMT Surface Temperature Cell 28,
HAMT Profile Construction Cell 28 Water Content,HAMT Surface Water Content Cell 28,
HAMT Profile Construction Cell 29 Relative Humidity,HAMT Surface Relative Humidity Cell 29,
HAMT Profile Construction Cell 29 Temperature,HAMT Surface Temperature Cell 29,
HAMT Profile Construction Cell 29 Water Content,HAMT Surface Water Content Cell 29,
HAMT Profile Construction Cell 3 Relative Humidity,HAMT Surface Relative Humidity Cell 3,
HAMT Profile Construction Cell 3 Temperature,HAMT Surface Temperature Cell 3,
HAMT Profile Construction Cell 3 Water Content,HAMT Surface Water Content Cell 3,
HAMT Profile Construction Cell 30 Relative Humidity,HAMT Surface Relative Humidity Cell 30,
HAMT Profile Construction Cell 30 Temperature,HAMT Surface Temperature Cell 30,
HAMT Profile Construction Cell 30 Water Content,HAMT Surface Water Content Cell 30,
HAMT Profile Construction Cell 31 Relative Humidity,HAMT Surface Relative Humidity Cell 31,
HAMT Profile Construction Cell 31 Temperature,HAMT Surface Temperature Cell 31,
HAMT Profile Construction Cell 31 Water Content,HAMT Surface Water Content Cell 31,
HAMT Profile Construction Cell 32 Relative Humidity,HAMT Surface Relative Humidity Cell 32,
HAMT Profile Construction Cell 32 Temperature,HAMT Surface Temperature Cell 32,
HAMT Profile Construction Cell 32 Water Content,HAMT Surface Water Content Cell 32,
HAMT Profile Construction Cell 4 Relative Humidity,HAMT Surface Relative Humidity Cell 4,
HAMT Profile Construction Cell 4 Temperature,HAMT Surface Temperature Cell 4,
HAMT Profile Construction Cell 4 Water Content,HAMT Surface Water Content Cell 4,
HAMT Profile Construction Cell 5 Relative Humidity,HAMT Surface Relative Humidity Cell 5,
HAMT Profile Construction Cell 5 Temperature,HAMT Surface Temperature Cell 5,
HAMT Profile Construction Cell 5 Water Content,HAMT Surface Water Content Cell 5,
HAMT Profile Construction Cell 6 Relative Humidity,HAMT Surface Relative Humidity Cell 6,
HAMT Profile Construction Cell 6 Temperature,HAMT Surface Temperature Cell 6,
HAMT Profile Construction Cell 6 Water Content,HAMT Surface Water Content Cell 6,
HAMT Profile Construction Cell 7 Relative Humidity,HAMT Surface Relative Humidity Cell 7,
HAMT Profile Construction Cell 7 Temperature,HAMT Surface Temperature Cell 7,
HAMT Profile Construction Cell 7 Water Content,HAMT Surface Water Content Cell 7,
HAMT Profile Construction Cell 8 Relative Humidity,HAMT Surface Relative Humidity Cell 8,
HAMT Profile Construction Cell 8 Temperature,HAMT Surface Temperature Cell 8,
HAMT Profile Construction Cell 8 Water Content,HAMT Surface Water Content Cell 8,
HAMT Profile Construction Cell 9 Relative Humidity,HAMT Surface Relative Humidity Cell 9,
HAMT Profile Construction Cell 9 Temperature,HAMT Surface Temperature Cell 9,
HAMT Profile Construction Cell 9 Water Content,HAMT Surface Water Content Cell 9,
HAMT Surface Exterior Relative Humidity,HAMT Surface Outside Face Relative Humidity,
HAMT Surface Exterior Temperature,HAMT Surface Outside Face Temperature,
HAMT Surface Interior Relative Humidity,HAMT Surface Inside Face Relative Humidity,
HAMT Surface Interior Temperature,HAMT Surface Inside Face Temperature,
HAMT Surface Interior Vapor Pressure,HAMT Surface Inside Face Vapor Pressure,
HAMT Surface Water Content,HAMT Surface Average Water Content Ratio,
Heat Balance Inside Surfaces Calculation Iterations,Surface Inside Face Heat Balance Calculation Iteration Count,
Heat Exchanger Latent Heating Energy,Heat Exchanger Latent Gain Energy,
Heat Exchanger Latent Heating Rate,Heat Exchanger Latent Gain Rate,
Heat Pump Dehumidification Induced Heating Demand Rate,Unitary System Dehumidification Induced Heating Demand Rate,
Heat Pump Water Heater Compressor Part-Load Ratio,Water Heater Compressor Part Load Ratio,
Heat Pump Water Heater Off-Cycle Parasitic Elec Consumption,Water Heater Off Cycle Ancillary Electric Energy,
Heat Pump Water Heater Off-Cycle Parasitic Electric Power,Water Heater Off Cycle Ancillary Electric Power,
Heat Pump Water Heater On-Cycle Parasitic Elec Consumption,Water Heater On Cycle Ancillary Electric Energy,
Heat Pump Water Heater On-Cycle Parasitic Electric Power,Water Heater On Cycle Ancillary Electric Power,
Heat Recovery Defrost Time Fraction,Heat Exchanger Defrost Time Fraction,
Heat Recovery Electric Consumption,Heat Exchanger Electric Energy,
Heat Recovery Electric Power,Heat Exchanger Electric Power,
Heat Recovery Exhaust Air Bypass Mass Flow,Heat Exchanger Exhaust Air Bypass Mass Flow Rate,
Heat Recovery Latent Effectiveness,Heat Exchanger Latent Effectiveness,
Heat Recovery Sensible Effectiveness,Heat Exchanger Sensible Effectiveness,
Heat Recovery Supply Air Bypass Mass Flow,Heat Exchanger Supply Air Bypass Mass Flow Rate,
Heating Coil Electric Consumption,Heating Coil Electric Energy,
Heating Coil Energy,Heating Coil Air Heating Energy,
Heating Coil Gas Consumption,Heating Coil Gas Energy,
Heating Coil Gas Consumption Rate,Heating Coil Gas Rate,
Heating Coil Parasitic Gas Consumption,Heating Coil Ancillary Gas Energy,
Heating Coil Parasitic Gas Consumption Rate,Heating Coil Ancillary Gas Rate,
Heating Coil Rate,Heating Coil Air Heating Rate,
Hg Pollution From Coal,Environmental Impact Coal Hg Emissions Mass,
Hg Pollution From Diesel,Environmental Impact Diesel Hg Emissions Mass,
Hg Pollution From Electricity,Environmental Impact Electricity Hg Emissions Mass,
Hg Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 Hg Emissions Mass,
Hg Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 Hg Emissions Mass,
Hg Pollution From Gasoline,Environmental Impact Gasoline Hg Emissions Mass,
Hg Pollution From Natural Gas,Environmental Impact Natural Gas Hg Emissions Mass,
Hg Pollution From Propane,Environmental Impact Propane Hg Emissions Mass,
High Temperature Radiant Electric Consumption,Zone Radiant HVAC Electric Energy,
High Temperature Radiant Electric Power,Zone Radiant HVAC Electric Power,
High Temperature Radiant Gas Consumption,Zone Radiant HVAC Gas Energy,
High Temperature Radiant Gas Consumption Rate,Zone Radiant HVAC Gas Rate,
High Temperature Radiant Heating Energy,Zone Radiant HVAC Heating Energy,
High Temperature Radiant Heating Rate,Zone Radiant HVAC Heating Rate,
Horizontal Infrared Radiation Intensity,Site Horizontal Infrared Radiation Rate per Area,
Hot Water Equipment Convective Heat Gain,Hot Water Equipment Convective Heating Energy,
Hot Water Equipment Convective Heat Gain Rate,Hot Water Equipment Convective Heating Rate,
Hot Water Equipment District Heating Consumption,Hot Water Equipment District Heating Energy,
Hot Water Equipment District Heating Consumption Rate,Hot Water Equipment District Heating Rate,
Hot Water Equipment Latent Heat Gain,Hot Water Equipment Latent Gain Energy,
Hot Water Equipment Latent Heat Gain Rate,Hot Water Equipment Latent Gain Rate,
Hot Water Equipment Lost Heat Gain,Hot Water Equipment Lost Heat Energy,
Hot Water Equipment Lost Heat Gain Rate,Hot Water Equipment Lost Heat Rate,
Hot Water Equipment Radiant Heat Gain,Hot Water Equipment Radiant Heating Energy,
Hot Water Equipment Radiant Heat Gain Rate,Hot Water Equipment Radiant Heating Rate,
Hot Water Equipment Total Heat Gain,Hot Water Equipment Total Heating Energy,
Hot Water Equipment Total Heat Gain Rate,Hot Water Equipment Total Heating Rate,
Humidifier Electric Consumption,Humidifier Electric Energy,
Humidifier Water Consumption,Humidifier Water Volume,
Humidifier Water Consumption Rate,Humidifier Water Volume Flow Rate,
Humidifier Water From Storage Tank,Humidifier Storage Tank Water Volume,
Humidifier Water From Storage Tank Rate,Humidifier Storage Tank Water Volume Flow Rate,
Humidifier Water Mains Draw,Humidifier Mains Water Volume,
Humidifier Water Starved By Storage Tank,Humidifier Starved Storage Tank Water Volume,
Humidifier Water Starved By Storage Tank Rate,Humidifier Starved Storage Tank Water Volume Flow Rate,
HVACManage Iterations,HVAC System Solver Iteration Count,
Hybrid Ventilation Control Mode,Availability Manager Hybrid Ventilation Control Mode,
Hybrid Ventilation Control Status,Availability Manager Hybrid Ventilation Control Status,
Hydronic Low Temp Hot Water Consumption,Zone Radiant HVAC Heating Fluid Energy,
Hydronic Low Temp Radiant Chilled Water Consumption,Zone Radiant HVAC Cooling Fluid Energy,
